VARYING
,Pooling polynomial degree
,Pooling polynomial gamma
""
FIXED
,Dataset,USPS
,Base kernel,RBF
,Base kernel gamma,1 / num_features * variance
,Pooling kernel,polynomial
,Filter size,3
,Filter stride,1
,Pooling being used,True
,Cross validation,5-fold
""
RESULTS
,Degree,Gamma,Avg Error,Std Dev,Min,Max,Time
,2,0.0225,2.09,0.19,1.89,2.35,7.8
,2,0.023,2.09,0.19,1.89,2.35,7.8
,2,0.0235,2.09,0.19,1.89,2.35,7.8
,2,0.024,2.09,0.19,1.89,2.35,7.8
,2,0.0245,2.09,0.19,1.89,2.35,7.8
,2,0.025,2.09,0.19,1.89,2.35,7.9
,2,0.025500000000000002,2.09,0.19,1.89,2.35,7.8
,2,0.026000000000000002,2.1,0.18,1.93,2.35,7.8
,2,0.0265,2.11,0.17,1.98,2.35,7.8
,2,0.027,2.11,0.17,1.98,2.35,10.2
,2,0.0275,2.11,0.17,1.98,2.35,8.3
,2,0.028,2.11,0.17,1.98,2.35,8.1
,2,0.0285,2.11,0.17,1.98,2.35,7.8
,2,0.029,2.11,0.17,1.98,2.35,7.8
,2,0.029500000000000002,2.11,0.17,1.98,2.35,7.8
,2,0.03,2.11,0.17,1.98,2.35,7.9
,2,0.0305,2.11,0.17,1.98,2.35,7.8
,3,0.0,3.06,0.28,2.67,3.33,9.9
,3,0.0005,2.46,0.17,2.22,2.59,9.5
,3,0.001,2.28,0.25,2.06,2.63,9.4
,3,0.0015,2.19,0.29,1.93,2.59,9.4
,3,0.002,2.14,0.24,1.89,2.47,9.5
,3,0.0025,2.15,0.25,1.93,2.51,9.5
,3,0.003,2.14,0.23,1.98,2.47,9.5
,3,0.0035,2.13,0.21,1.98,2.43,9.5
,3,0.004,2.11,0.19,1.98,2.39,9.5
,3,0.0045000000000000005,2.11,0.22,1.93,2.43,9.5
,3,0.005,2.11,0.23,1.89,2.43,9.5
,3,0.0055,2.11,0.2,1.93,2.39,9.5
,3,0.006,2.07,0.17,1.89,2.3,9.5
,3,0.006500000000000001,2.06,0.15,1.89,2.26,9.5
,3,0.007,2.06,0.15,1.89,2.26,9.6
,3,0.0075,2.04,0.14,1.89,2.22,9.5
,3,0.008,2.06,0.1,1.93,2.18,9.5
,3,0.0085,2.06,0.12,1.93,2.22,9.6
,3,0.009000000000000001,2.06,0.12,1.93,2.22,9.5
,3,0.0095,2.04,0.1,1.93,2.18,9.6
,3,0.01,2.04,0.1,1.93,2.18,9.6
,3,0.0105,2.04,0.1,1.93,2.18,9.5
,3,0.011,2.09,0.1,1.98,2.22,9.5
,3,0.0115,2.07,0.11,1.98,2.22,9.5
,3,0.012,2.09,0.1,2.02,2.22,9.5
,3,0.0125,2.09,0.1,2.02,2.22,9.5
,3,0.013000000000000001,2.09,0.1,2.02,2.22,9.6
,3,0.0135,2.09,0.1,2.02,2.22,9.6
,3,0.014,2.09,0.1,2.02,2.22,9.8
,3,0.0145,2.09,0.1,2.02,2.22,9.5
,3,0.015,2.09,0.1,2.02,2.22,9.5
,3,0.0155,2.07,0.11,1.98,2.22,9.6
,3,0.016,2.09,0.1,1.98,2.22,9.9
,3,0.0165,2.09,0.1,1.98,2.22,9.5
,3,0.017,2.07,0.12,1.93,2.22,9.5
,3,0.0175,2.07,0.12,1.93,2.22,9.5
,3,0.018000000000000002,2.07,0.12,1.93,2.22,9.6
,3,0.0185,2.09,0.14,1.93,2.26,9.6
,3,0.019,2.09,0.14,1.93,2.26,9.6
,3,0.0195,2.09,0.14,1.93,2.26,9.6
,3,0.02,2.09,0.14,1.93,2.26,9.5
,3,0.0205,2.09,0.14,1.93,2.26,9.6
,3,0.021,2.09,0.17,1.89,2.3,9.6
,3,0.021500000000000002,2.09,0.17,1.89,2.3,9.5
,3,0.022,2.09,0.17,1.89,2.3,9.6
,3,0.0225,2.09,0.17,1.89,2.3,9.5
,3,0.023,2.1,0.15,1.93,2.3,9.6
,3,0.0235,2.1,0.15,1.93,2.3,9.6
,3,0.024,2.1,0.15,1.93,2.3,9.5
,3,0.0245,2.1,0.15,1.93,2.3,9.6
,3,0.025,2.1,0.15,1.93,2.3,9.6
,3,0.025500000000000002,2.1,0.15,1.93,2.3,9.5
,3,0.026000000000000002,2.1,0.15,1.93,2.3,9.6
,3,0.0265,2.11,0.15,1.93,2.3,9.6
,3,0.027,2.11,0.15,1.93,2.3,9.6
,3,0.0275,2.11,0.15,1.93,2.3,9.6
,3,0.028,2.11,0.15,1.93,2.3,9.6
,3,0.0285,2.13,0.17,1.93,2.35,12.3
,3,0.029,2.13,0.17,1.93,2.35,9.6
,3,0.029500000000000002,2.13,0.17,1.93,2.35,9.5
,3,0.03,2.13,0.17,1.93,2.35,9.6
,3,0.0305,2.13,0.17,1.93,2.35,9.6
,4,0.0,3.06,0.28,2.67,3.33,9.4
,4,0.0005,2.39,0.19,2.18,2.63,9.4
,4,0.001,2.24,0.28,2.02,2.63,9.5
,4,0.0015,2.15,0.25,1.93,2.51,9.5
,4,0.002,2.14,0.23,1.98,2.47,9.4
,4,0.0025,2.13,0.21,1.98,2.43,9.5
,4,0.003,2.1,0.18,1.93,2.35,9.5
