VARYING
,Pooling polynomial degree
,Pooling polynomial gamma
""
FIXED
,Dataset,USPS
,Base kernel,RBF
,Base kernel gamma,1 / num_features
,Pooling kernel,polynomial
,Filter size,2
,Filter stride,1
,Pooling being used,True
,Cross validation,5-fold
""
RESULTS
,Degree,Gamma,Avg Error,Std Dev,Min,Max,Time
,2,0.0225,2.14,0.15,2.02,2.35,7.5
,2,0.023,2.11,0.17,1.98,2.35,7.5
,2,0.0235,2.13,0.16,1.98,2.35,7.5
,2,0.024,2.11,0.14,1.98,2.3,9.6
,2,0.0245,2.11,0.14,1.98,2.3,9.9
,2,0.025,2.11,0.14,1.98,2.3,7.5
,2,0.025500000000000002,2.11,0.14,1.98,2.3,7.5
,2,0.026000000000000002,2.11,0.14,1.98,2.3,7.5
,2,0.0265,2.11,0.14,1.98,2.3,7.5
,2,0.027,2.11,0.14,1.98,2.3,7.5
,2,0.0275,2.11,0.14,1.98,2.3,7.5
,2,0.028,2.11,0.14,1.98,2.3,7.5
,2,0.0285,2.11,0.14,1.98,2.3,7.6
,2,0.029,2.11,0.14,1.98,2.3,7.5
,2,0.029500000000000002,2.11,0.14,1.98,2.3,7.5
,2,0.03,2.11,0.14,1.98,2.3,7.5
,2,0.0305,2.13,0.13,2.02,2.3,7.6
,3,0.0,3.06,0.28,2.67,3.33,9.1
,3,0.0005,2.52,0.15,2.35,2.72,9.2
,3,0.001,2.26,0.15,2.1,2.47,9.1
,3,0.0015,2.26,0.2,2.1,2.55,9.2
,3,0.002,2.21,0.25,1.98,2.55,9.1
,3,0.0025,2.18,0.21,1.98,2.47,9.2
,3,0.003,2.15,0.21,1.93,2.43,9.2
,3,0.0035,2.15,0.2,1.98,2.43,9.2
,3,0.004,2.13,0.19,1.98,2.39,9.2
,3,0.0045000000000000005,2.11,0.14,2.02,2.3,9.3
,3,0.005,2.1,0.12,2.02,2.26,9.2
,3,0.0055,2.07,0.17,1.93,2.3,9.3
,3,0.006,2.06,0.18,1.89,2.3,9.3
,3,0.006500000000000001,2.07,0.17,1.89,2.3,9.3
,3,0.007,2.06,0.18,1.89,2.3,9.5
,3,0.0075,2.06,0.18,1.89,2.3,9.2
,3,0.008,2.03,0.14,1.89,2.22,9.2
,3,0.0085,2.0,0.16,1.89,2.22,9.5
,3,0.009000000000000001,2.0,0.16,1.89,2.22,9.6
,3,0.0095,2.0,0.16,1.89,2.22,9.3
,3,0.01,2.02,0.15,1.89,2.22,9.3
,3,0.0105,2.02,0.12,1.93,2.18,9.2
,3,0.011,2.02,0.12,1.93,2.18,9.2
,3,0.0115,2.02,0.12,1.93,2.18,9.2
,3,0.012,2.02,0.12,1.93,2.18,9.2
,3,0.0125,2.0,0.13,1.89,2.18,9.3
,3,0.013000000000000001,2.0,0.13,1.89,2.18,9.2
,3,0.0135,2.0,0.13,1.89,2.18,9.2
,3,0.014,1.99,0.11,1.89,2.14,9.3
,3,0.0145,2.0,0.1,1.89,2.14,9.2
,3,0.015,2.0,0.1,1.89,2.14,9.2
,3,0.0155,1.99,0.12,1.85,2.14,9.2
,3,0.016,2.0,0.14,1.85,2.18,9.2
,3,0.0165,2.0,0.14,1.85,2.18,9.2
,3,0.017,2.0,0.14,1.85,2.18,9.3
,3,0.0175,2.0,0.14,1.85,2.18,9.2
,3,0.018000000000000002,2.03,0.14,1.89,2.22,9.2
,3,0.0185,2.03,0.14,1.89,2.22,9.2
,3,0.019,2.03,0.14,1.89,2.22,9.2
,3,0.0195,2.02,0.12,1.89,2.18,9.2
,3,0.02,2.02,0.12,1.89,2.18,9.3
,3,0.0205,2.02,0.12,1.89,2.18,9.2
,3,0.021,2.0,0.13,1.89,2.18,9.2
,3,0.021500000000000002,2.0,0.13,1.89,2.18,9.3
,3,0.022,2.0,0.13,1.89,2.18,9.2
,3,0.0225,2.0,0.13,1.89,2.18,9.3
,3,0.023,1.99,0.11,1.89,2.14,9.2
,3,0.0235,1.99,0.08,1.89,2.1,9.3
,3,0.024,1.99,0.08,1.89,2.1,9.2
,3,0.0245,1.99,0.08,1.89,2.1,9.3
,3,0.025,1.99,0.08,1.89,2.1,9.2
,3,0.025500000000000002,1.99,0.08,1.89,2.1,9.2
,3,0.026000000000000002,1.99,0.08,1.89,2.1,9.5
,3,0.0265,1.98,0.07,1.89,2.06,9.8
,3,0.027,1.98,0.07,1.89,2.06,9.3
,3,0.0275,1.98,0.07,1.89,2.06,9.2
,3,0.028,1.98,0.07,1.89,2.06,9.2
,3,0.0285,1.98,0.07,1.89,2.06,9.3
,3,0.029,1.98,0.07,1.89,2.06,9.3
,3,0.029500000000000002,1.98,0.07,1.89,2.06,9.2
,3,0.03,1.98,0.07,1.89,2.06,9.2
,3,0.0305,1.98,0.07,1.89,2.06,9.2
,4,0.0,3.06,0.28,2.67,3.33,9.1
,4,0.0005,2.48,0.17,2.3,2.72,9.1
,4,0.001,2.25,0.21,2.1,2.55,9.2
,4,0.0015,2.18,0.21,1.98,2.47,9.2
,4,0.002,2.11,0.17,1.93,2.35,9.2
,4,0.0025,2.14,0.17,2.02,2.39,9.2
,4,0.003,2.06,0.18,1.89,2.3,9.2
,4,0.0035,2.06,0.18,1.89,2.3,9.2
,4,0.004,1.99,0.17,1.85,2.22,9.2
,4,0.0045000000000000005,2.0,0.16,1.85,2.22,9.4
,4,0.005,2.0,0.16,1.85,2.22,9.2
,4,0.0055,2.02,0.18,1.85,2.26,9.3
,4,0.006,2.03,0.17,1.89,2.26,9.2
,4,0.006500000000000001,1.99,0.11,1.89,2.14,9.3
,4,0.007,1.98,0.09,1.89,2.1,9.2
,4,0.0075,1.99,0.11,1.89,2.14,9.3
,4,0.008,1.99,0.11,1.89,2.14,9.3
,4,0.0085,2.0,0.1,1.89,2.14,9.3
,4,0.009000000000000001,2.0,0.1,1.89,2.14,9.4
,4,0.0095,2.0,0.1,1.89,2.14,9.3
,4,0.01,2.0,0.1,1.89,2.14,9.3
,4,0.0105,1.99,0.08,1.89,2.1,9.2
,4,0.011,1.96,0.1,1.89,2.1,9.3
,4,0.0115,1.98,0.09,1.89,2.1,9.2
,4,0.012,1.98,0.09,1.89,2.1,9.3
,4,0.0125,1.98,0.09,1.89,2.1,9.4
,4,0.013000000000000001,1.98,0.09,1.89,2.1,9.3
,4,0.0135,1.98,0.09,1.89,2.1,9.2
,4,0.014,1.96,0.07,1.89,2.06,9.3
,4,0.0145,1.99,0.07,1.89,2.06,9.3
,4,0.015,1.99,0.07,1.89,2.06,9.3
,4,0.0155,1.99,0.07,1.89,2.06,9.3
,4,0.016,2.0,0.08,1.89,2.06,9.3
,4,0.0165,2.0,0.08,1.89,2.06,9.3
,4,0.017,2.0,0.08,1.89,2.06,9.3
,4,0.0175,2.0,0.08,1.89,2.06,9.3
,4,0.018000000000000002,2.02,0.09,1.89,2.1,9.3
,4,0.0185,2.02,0.09,1.89,2.1,9.3
,4,0.019,2.02,0.09,1.89,2.1,9.3
,4,0.0195,2.02,0.09,1.89,2.1,9.3
,4,0.02,2.02,0.09,1.89,2.1,9.3
,4,0.0205,2.02,0.09,1.89,2.1,9.3
,4,0.021,2.03,0.1,1.89,2.14,9.3
,4,0.021500000000000002,2.03,0.1,1.89,2.14,9.3
,4,0.022,2.03,0.1,1.89,2.14,9.3
,4,0.0225,2.03,0.1,1.89,2.14,9.4
,4,0.023,2.02,0.1,1.89,2.14,9.3
,4,0.0235,2.02,0.1,1.89,2.14,9.3
,4,0.024,2.02,0.1,1.89,2.14,9.3
,4,0.0245,2.02,0.1,1.89,2.14,9.3
,4,0.025,2.02,0.1,1.89,2.14,9.3
,4,0.025500000000000002,2.02,0.1,1.89,2.14,9.4
,4,0.026000000000000002,2.0,0.08,1.89,2.1,9.4
,4,0.0265,2.02,0.1,1.89,2.14,9.3
,4,0.027,2.02,0.1,1.89,2.14,9.3
,4,0.0275,2.02,0.1,1.89,2.14,9.3
,4,0.028,2.02,0.1,1.89,2.14,9.3
,4,0.0285,2.02,0.1,1.89,2.14,9.3
,4,0.029,2.02,0.1,1.89,2.14,9.4
,4,0.029500000000000002,2.02,0.1,1.89,2.14,9.5
,4,0.03,2.02,0.1,1.89,2.14,9.3
,4,0.0305,2.02,0.1,1.89,2.14,9.3
